Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2018-07-02,1647.6263427734375,1653.3666461881296,1638.5042587611574,1648.2048381212533,2650290
2018-07-03,1667.82861328125,1673.03485453149,1652.699302063809,1655.280097655502,3242233
2018-07-04,1660.7982177734375,1673.0351629255588,1652.7885809465943,1673.0351629255588,2700614
2018-07-05,1673.39111328125,1679.7987790761765,1657.1937830500854,1666.8943646143994,2472571
2018-07-06,1702.4482421875,1709.6124607121767,1674.5925707640047,1675.660478872117,3713781
2018-07-09,1675.793701171875,1712.638045378698,1670.0089645507294,1712.2820398591011,6151747
2018-07-10,1668.7633056640625,1689.9443886327065,1664.8920029426818,1689.143403226091,5303302
2018-07-11,1762.0311279296875,1778.1393758229758,1685.7170881514994,1690.9233303621893,22903802
2018-07-12,1754.4217529296875,1771.8205057435837,1744.765713452949,1765.6797630658766,6921701
2018-07-13,1763.09912109375,1778.0504873489733,1756.7804290188328,1757.6703887093186,4148185
2018-07-16,1770.3077392578125,1776.359508493313,1759.8507130930848,1771.0197504517498,2582159
2018-07-17,1785.4227294921875,1791.5312138507354,1766.5621376995055,1773.6961594569998,3315492
2018-07-18,1783.7283935546875,1793.938918744083,1777.3078174579591,1787.9642190111977,2013869
2018-07-19,1766.9190673828125,1792.8244216081066,1756.7530634171098,1785.3783072984347,1746318
2018-07-20,1780.4735107421875,1783.5054918496392,1769.237447914842,1770.0400471574817,1934995
2018-07-23,1788.5439453125,1792.3784168675359,1771.020981802811,1784.3972732061557,2086201
2018-07-24,1782.614013671875,1796.8820598043162,1769.3715051265137,1796.8820598043162,2038423
2018-07-25,1767.0081787109375,1785.2891111679521,1755.3262387658126,1785.1999576589826,1535492
2018-07-26,1752.02685546875,1770.129482637335,1743.4660495154671,1761.1673225705297,3503036
2018-07-27,1733.3447265625,1751.9823842361427,1730.2682225518672,1748.5936796203687,2033977
2018-07-30,1734.1025390625,1743.1092209137462,1722.4652298938195,1732.6757562995433,1579251
2018-07-31,1730.1788330078125,1736.242795919849,1719.299491799419,1731.7840316776305,2204803
2018-08-01,1762.54931640625,1767.0527113517749,1738.7395614423906,1738.8732372701184,2425180
2018-08-02,1737.4913330078125,1770.129466641581,1734.4593514447733,1765.67070224198,1509287
2018-08-03,1765.18017578125,1767.4988203295452,1744.714490948068,1744.714490948068,1505131
2018-08-06,1761.7025146484375,1782.5694457727416,1758.759686486519,1780.8305711312353,1532249
2018-08-07,1754.3900146484375,1764.9127422227527,1748.2815291640613,1764.065511668981,1353521
2018-08-08,1760.3201904296875,1764.154771367875,1749.6191558374098,1758.536684664308,1315062
2018-08-09,1760.6318359375,1766.3837058869772,1753.1857230255582,1765.670260219026,2060297
2018-08-10,1777.3521728515625,1780.3841536122395,1758.580845010687,1766.5173564564716,2784105
2018-08-13,1783.639404296875,1787.2955690457545,1774.5880915060754,1781.543806965149,3559575
2018-08-14,1786.6715087890625,1805.442841415506,1767.81091379025,1776.371719583196,3311765
2018-08-16,1791.085205078125,1801.3849917716698,1779.046544252357,1783.7728768598981,2152065
2018-08-17,1794.875732421875,1803.035293605265,1787.0728941862812,1795.8566388858947,1213731
2018-08-20,1792.378662109375,1804.9078336474242,1786.8052065953946,1804.9078336474242,1587032
2018-08-21,1799.2449951171875,1804.9076034257976,1787.0725480559774,1792.556849353505,1376866
2018-08-23,1814.805908203125,1817.3920128189725,1801.6080334828334,1803.837415245369,3046791
2018-08-24,1821.8511962890625,1824.5264550207644,1811.1501613622545,1814.8063265242693,1570533
2018-08-27,1828.8958740234375,1836.11915935578,1814.7170904754796,1821.8511134355797,1532702
2018-08-28,1845.214599609375,1847.7115506528685,1829.876497075138,1832.5517551117978,1987983
2018-08-29,1847.7119140625,1851.8140642774151,1824.1696169382703,1848.1577904896387,1525867
2018-08-30,1856.9859619140625,1859.3046063021204,1841.9154265309496,1844.1448085528946,2408020
2018-08-31,1853.418701171875,1865.5466248238308,1849.495076426685,1856.8966672857584,2504554
2018-09-03,1830.6793212890625,1863.7634387950163,1826.6664335021833,1859.1263675616863,1439711
2018-09-04,1871.6998291015625,1876.9166699672005,1834.2908433983664,1836.8324259150786,4420803
2018-09-05,1854.177001953125,1879.1460802528425,1850.4316837507845,1872.6808724788086,1681106
2018-09-06,1850.654541015625,1856.183364569012,1837.2782496543302,1850.3869716457841,2238097
2018-09-07,1854.712158203125,1858.4128452579191,1841.826156002916,1854.2216506178531,1312182
2018-09-10,1855.5146484375,1866.7952343320726,1849.7182552067688,1858.769459089522,1530539
2018-09-11,1824.7493896484375,1862.8718264999811,1821.1377468251426,1862.8718264999811,3679745
2018-09-12,1822.6982421875,1844.9474328379692,1819.175861879912,1830.1890969525148,2307661
2018-09-14,1841.8262939453125,1847.3107047335977,1799.6910796181257,1822.7428695780247,3642038
2018-09-17,1849.62939453125,1852.8844236032644,1832.151166390631,1845.9287066731733,1033857
2018-09-18,1846.59716796875,1853.7758217743883,1834.870705369675,1848.6036118310847,1456507
2018-09-19,1852.9727783203125,1862.8713200020022,1843.1190855276043,1847.6222623222216,1301268
2018-09-21,1875.4901123046875,1891.4079893997355,1828.227206393237,1852.1708599638143,4508530
2018-09-24,1960.4736328125,1971.219296132718,1871.0307956023423,1886.056915322641,3032226
2018-09-25,1946.875,1972.468266163162,1920.6575503134677,1966.225995503214,2868778
2018-09-26,1910.268310546875,1960.9645479509009,1903.9816270261085,1950.2635135828195,1970951
2018-09-27,1951.91357421875,1970.506493003457,1904.6060356479445,1910.0455981335817,3311802
2018-09-28,1947.320556640625,1952.9386428544676,1925.1606300653111,1942.237609194991,2904371
2018-10-01,2011.392822265625,2029.5844900454897,1953.2505904551122,1953.7408802638708,3772208
2018-10-03,1928.727783203125,2010.9027231411462,1922.2625748914738,2006.7115281920758,3902322
2018-10-04,1841.291259765625,1923.1986253650489,1833.7559920058968,1923.1542118946786,4762419
2018-10-05,1875.0435791015625,1890.515574306696,1802.1429105054563,1828.0928902493995,3417624
2018-10-08,1852.6611328125,1892.477809528808,1826.4434690208047,1875.043998185065,2010154
2018-10-09,1865.368896484375,1879.503050357468,1830.947144936197,1855.1583685736189,1867130
2018-10-10,1822.385986328125,1877.986751210271,1809.3664173193142,1872.6808656335927,2749573
2018-10-11,1765.6258544921875,1795.0983271012192,1730.892127622189,1770.1292495260407,4700256
2018-10-12,1710.649658203125,1763.8872636180333,1697.0057950784214,1763.8872636180333,9373289
2018-10-15,1738.4722900390625,1743.8674386623395,1712.165579315209,1730.0006374330758,2638151
2018-10-16,1749.886474609375,1758.4472792857262,1725.5415808562302,1746.0518942204128,2815425
2018-10-17,1720.5479736328125,1773.6964218163828,1712.1654750565383,1756.7531176361358,2779207
2018-10-19,1706.1015625,1720.1913015138073,1667.622512902857,1720.1913015138073,3428776
2018-10-22,1697.0052490234375,1708.5980331733613,1682.6925758188077,1706.8145279195269,1778496
2018-10-23,1647.5433349609375,1696.1121733229577,1641.6006651181629,1687.1758605024995,2752811
2018-10-24,1651.8773193359375,1674.6649155723812,1618.4554897053179,1655.0497538188777,2735913
2018-10-25,1655.898681640625,1677.2564900153823,1630.921732208662,1647.8560005101526,2507233
2018-10-26,1607.7314453125,1656.7024657678492,1600.5823976014015,1656.7024657678492,2285970
2018-10-29,1671.9837646484375,1678.194457071994,1594.550609102364,1616.3105042649902,2609483
2018-10-30,1693.2525634765625,1706.299558120073,1648.7496828736028,1668.4095706910657,2404883
2018-10-31,1731.9910888671875,1737.1294675455858,1675.960355044289,1697.8990415576932,2769190
2018-11-01,1729.8465576171875,1737.5317639521613,1699.0610070839325,1736.9062657601594,2769759
2018-11-02,1709.91845703125,1746.6914001697935,1702.3673175509869,1728.4613031410574,1818635
2018-11-05,1689.72265625,1722.3401974348913,1684.2715273485987,1706.835716798421,1713366
2018-11-06,1727.1207275390625,1731.410200314817,1689.8563555072615,1692.5372487206523,1398710
2018-11-07,1735.5655517578125,1741.6869025844162,1730.9633300697867,1733.644223198444,144530
2018-11-09,1706.1207275390625,1753.2597756636158,1702.3675199483177,1752.4108696160897,2570479
2018-11-12,1711.16943359375,1739.0954045479193,1705.4948981130276,1705.4948981130276,2552008
2018-11-13,1729.1314697265625,1732.7507193502538,1700.579999444834,1711.3035727466406,1418432
2018-11-14,1680.607421875,1724.6187554314024,1671.0902284359922,1720.2399410370508,2422318
2018-11-15,1673.63720703125,1697.0056852300754,1660.0093309386966,1665.7285925586416,1829123
2018-11-16,1685.9246826171875,1697.7206804860239,1671.3138335992555,1688.0694194193254,1829729
2018-11-19,1700.0887451171875,1704.4675601036295,1665.9967998536722,1697.005760907855,1740628
